ARPT_ID,ARPT_NAME,LAT_AVG,LONG_AVG,RWY_CNT,RWY_LEN_AVG,RW_LEN_6K_10K,RWY_LEN_GE_10K
K61,MORITZ MEML,39.47076716,-98.12939161,3,2735.3,0,0
LAL,LAKELAND LINDER INTL,27.98579613,-82.01909265,3,5236.0,1,0
K65,DIGHTON,38.48884907,-100.481538,3,2133.3,0,0
LAN,CAPITAL REGION INTL,42.77907999,-84.58569522,3,5703.3,1,0
LGB,LONG BEACH (DAUGHERTY FLD),33.81772196,-118.1526742,3,6703.3,2,0
K34,GARDNER MUNI,38.80692037,-94.95648564,3,2498.0,0,0
LIT,BILL AND HILLARY CLINTON NTL/ADAMS FLD,34.72958742,-92.22588687,3,7582.7,3,0
LQR,LARNED-PAWNEE COUNTY,38.20828268,-99.08604537,3,3297.0,0,0
LNK,LINCOLN,40.85208299,-96.75777115,3,9117.0,1,1
LRD,LAREDO INTL,27.54404124,-99.46157139,3,7635.3,2,0
LSE,LA CROSSE RGNL,43.87881348,-91.25618903,3,6663.7,2,0
LRU,LAS CRUCES INTL,32.28912919,-106.9219936,3,7025.3,3,0
JVL,SOUTHERN WISCONSIN RGNL,42.62028578,-89.0409934,3,6335.7,2,0
LTS,ALTUS AFB,34.67060165,-99.26630076,3,8647.0,1,1
LCG,WAYNE MUNI/STAN MORRIS FLD,42.24133878,-96.98283938,3,3225.7,0,0
LWT,LEWISTOWN MUNI,47.04898172,-109.4673223,3,5267.3,1,0
LFT,LAFAYETTE RGNL/PAUL FOURNET FLD,30.20519496,-91.98812395,3,5833.0,1,0
LBB,LUBBOCK PRESTON SMITH INTL,33.66156678,-101.818601,3,7464.7,1,1
ISP,LONG ISLAND MAC ARTHUR,40.79619405,-73.09951399,3,5122.3,1,0
JRF,KALAELOA (JOHN RODGERS FLD),21.30762289,-158.069851,3,6953.0,2,0
IWA,PHOENIX-MESA GATEWAY,33.30784459,-111.6552833,3,9967.3,1,2
HUT,HUTCHINSON RGNL,38.06593529,-97.86005663,3,5140.0,1,0
IND,INDIANAPOLIS INTL,39.71819704,-86.29279841,3,9492.7,2,1
HYI,SAN MARCOS RGNL,29.89281548,-97.86269737,3,5715.0,1,0
ISW,ALEXANDER FLD SOUTH WOOD COUNTY,44.36014784,-89.8396402,3,3680.7,0,0
IAG,NIAGARA FALLS INTL,43.10672095,-78.94437295,3,6328.7,1,0
IYK,INYOKERN,35.65953565,-117.8293648,3,5841.7,2,0
ICT,WICHITA DWIGHT D EISENHOWER NTL,37.65018154,-97.43217359,3,7968.3,2,1
ILG,NEW CASTLE,39.67839402,-75.60706172,3,6296.3,2,0
HOB,LEA COUNTY RGNL,32.68773908,-103.2175404,3,6132.7,2,0
FWA,FORT WAYNE INTL,40.97870321,-85.19415421,3,7994.7,1,1
GTB,WHEELER-SACK AAF,44.05431596,-75.71969902,3,6501.0,1,0
HFF,MACKALL AAF,35.03619703,-79.49765282,3,5106.3,0,0
GLD,RENNER FLD/GOODLAND MUNI,39.37154976,-101.6991129,3,3751.3,0,0
HIO,PORTLAND-HILLSBORO,45.54214755,-122.9504774,3,4673.3,1,0
HRL,VALLEY INTL,26.22642314,-97.65458359,3,7535.7,2,0
FTT,ELTON HENSLEY MEML,38.83846776,-92.00300122,3,3230.7,0,0
HMN,HOLLOMAN AFB,32.85211018,-106.1091236,3,11878.0,0,3
GRR,GERALD R FORD INTL,42.88219198,-85.52386029,3,7834.3,1,1
GSO,PIEDMONT TRIAD INTL,36.1005708,-79.94180208,3,8460.3,2,1
HOU,WILLIAM P HOBBY,29.64600264,-95.27731726,3,6784.0,2,0
FEP,ALBERTUS,42.24691612,-89.5820124,3,3397.7,0,0
FSD,JOE FOSS FLD,43.58097015,-96.74180375,3,6717.0,2,0
EFD,ELLINGTON,29.60806665,-95.15814567,3,7203.7,2,0
FLY,MEADOW LAKE,38.94317157,-104.5692203,3,4376.0,1,0
EGQ,EMMETSBURG MUNI,43.10182277,-94.70406362,3,2698.3,0,0
F45,NORTH PALM BEACH COUNTY GENERAL AVIATION,26.84610116,-80.22245413,3,4093.0,0,0
EKM,ELKHART MUNI,41.71911789,-86.00315397,3,4326.3,1,0
FCM,FLYING CLOUD,44.82726868,-93.45793803,3,3864.0,0,0
ELM,ELMIRA/CORNING RGNL,42.16020721,-76.89082153,3,5140.3,1,0
FHU,SIERRA VISTA MUNI-LIBBY AAF,31.58897876,-110.3430021,3,7217.3,0,1
ELP,EL PASO INTL,31.80669607,-106.3733928,3,8848.0,1,1
FOK,FRANCIS S GABRESKI,40.8431704,-72.63278539,3,6368.0,1,0
EMM,KEMMERER MUNI,41.82524645,-110.5567042,3,4715.0,1,0
F06,MARIAN AIRPARK,34.84497963,-100.1961176,3,2288.0,0,0
ENA,KENAI MUNI,60.5757713,-151.2428889,3,4811.7,1,0
F56,ARLEDGE FLD,32.91079822,-99.73360474,3,2540.0,0,0
END,VANCE AFB,36.33984358,-97.91629614,3,7819.3,2,0
FAR,HECTOR INTL,46.91929693,-96.81576805,3,6368.0,2,0
ENN,NENANA MUNI,64.54713519,-149.0743833,3,3393.7,0,0
FDR,FREDERICK RGNL,34.35237218,-98.98488844,3,5163.0,1,0
ENW,KENOSHA RGNL,42.59564314,-87.92636619,3,4780.7,1,0
FHB,FERNANDINA BEACH MUNI,30.61186007,-81.46116789,3,5151.0,0,0
EPH,EPHRATA MUNI,47.30766172,-119.5173745,3,4270.0,0,0
FIN,FLAGLER EXEC,29.46437291,-81.2089533,3,4500.7,0,0
EVB,NEW SMYRNA BEACH MUNI,29.05553106,-80.9487722,3,4439.7,0,0
FMM,FORT MORGAN MUNI,40.33490606,-103.8042866,3,4471.7,0,0
EVV,EVANSVILLE RGNL,38.04006944,-87.52971387,3,5934.7,2,0
FPR,TREASURE COAST INTL,27.49787809,-80.37367895,3,5082.3,1,0
EWR,NEWARK LIBERTY INTL,40.69363595,-74.16860921,3,9242.0,2,1
F01,QUANAH MUNI,34.27685027,-99.75977152,3,2996.7,0,0
F14,WICHITA VALLEY,33.94773282,-98.61602222,3,2821.3,0,0
COS,CITY OF COLORADO SPRINGS MUNI,38.80720919,-104.7022641,3,10930.7,1,2
DLF,LAUGHLIN AFB,29.35941018,-100.7781356,3,7913.0,3,0
CPS,ST LOUIS DOWNTOWN,38.57125013,-90.15667573,3,5034.0,1,0
DNV,VERMILION RGNL,40.19970052,-87.5951221,3,4168.3,1,0
CVN,CLOVIS RGNL,34.42504764,-103.0784966,3,5113.0,1,0
E11,ANDREWS COUNTY,32.33033115,-102.5291643,3,4252.3,0,0
DWH,DAVID WAYNE HOOKS MEML,30.06082696,-95.55201266,3,4346.3,1,0
CYYJ,VICTORIA INTL,48.64790509,-123.4276657,3,5675.0,1,0
DYS,DYESS AFB,32.41630468,-99.85839826,3,6832.7,0,1
DAB,DAYTONA BEACH INTL,29.17991872,-81.05594489,3,6565.3,1,1
DCA,RONALD REAGAN WASHINGTON NTL,38.85139391,-77.03771896,3,5791.0,1,0
DAY,JAMES M COX DAYTON INTL,39.90183582,-84.21808463,3,8896.0,2,1
CHK,CHICKASHA MUNI,35.09745339,-97.96708968,3,3245.7,0,0
CBK,SHALZ FLD,39.4272181,-101.0460752,3,3456.7,0,0
BIH,BISHOP,37.37314325,-118.3635253,3,6221.7,1,0
BJC,ROCKY MOUNTAIN METRO,39.90902409,-105.1169532,3,6534.0,2,0
BIG,ALLEN AAF,63.99442824,-145.7195954,3,6390.7,2,0
BKD,STEPHENS COUNTY,32.71872971,-98.89183316,3,3267.0,0,0
CLE,CLEVELAND-HOPKINS INTL,41.41029545,-81.85338699,3,8323.7,3,0
BKE,BAKER CITY MUNI,44.83732332,-117.8091431,3,4371.0,0,0
BIL,BILLINGS LOGAN INTL,45.80802845,-108.5475708,3,6606.3,0,1
BOW,BARTOW EXEC,27.94331012,-81.78344503,3,4805.7,0,0
CBM,COLUMBUS AFB,33.64541944,-88.44666713,3,8775.0,2,1
BTL,BATTLE CREEK EXEC AT KELLOGG FLD,42.30655314,-85.2486323,3,6313.0,0,1
CCY,NORTHEAST IOWA RGNL,43.07203324,-92.61081633,3,2772.0,0,0
BTR,"BATON ROUGE METRO, RYAN FLD",30.53285299,-91.14925896,3,6101.3,2,0
CKN,CROOKSTON MUNI/KIRKWOOD FLD,47.84215712,-96.6210748,3,3124.3,0,0
BWI,BALTIMORE/WASHINGTON INTL THURGOOD MARSHALL,39.17675864,-76.66724105,3,8334.7,1,1
CLI,CLINTONVILLE MUNI,44.61286657,-88.730479,3,3471.0,0,0
C37,BRODHEAD,42.59521647,-89.38083444,3,1773.3,0,0
CMI,UNIVERSITY OF ILLINOIS/WILLARD,40.03824239,-88.27659708,3,6139.7,2,0
CNO,CHINO,33.97494841,-117.6366753,3,5592.3,1,0
C77,POPLAR GROVE,42.32311956,-88.83621951,3,2983.0,0,0
ARR,AURORA MUNI,41.77206516,-88.47522661,3,5067.3,1,0
AAF,APALACHICOLA RGNL-CLEVE RANDOLPH FLD,29.72755193,-85.02735872,3,5315.7,0,0
AUW,WAUSAU DOWNTOWN,44.92531502,-89.62791008,3,5413.7,1,0
AIA,ALLIANCE MUNI,42.05356974,-102.8033804,3,7234.7,3,0
ARG,WALNUT RIDGE RGNL,36.1250114,-90.92500644,3,5335.0,1,0
ABQ,ALBUQUERQUE INTL SUNPORT,35.03818878,-106.6101143,3,9931.0,1,1
ADQ,KODIAK,57.74943358,-152.4930443,3,5981.3,1,0
AZO,KALAMAZOO/BATTLE CREEK INTL,42.23490178,-85.55214215,3,4246.7,1,0
AYS,WAYCROSS-WARE COUNTY,31.24867408,-82.3948924,3,4863.3,0,0
BET,BETHEL,60.77851863,-161.8384842,3,4086.0,1,0
APF,NAPLES MUNI,26.1519897,-81.77627261,3,4483.7,1,0
ANC,TED STEVENS ANCHORAGE INTL,61.17434018,-149.9975256,3,11288.3,0,3
APA,CENTENNIAL,39.57011821,-104.8481265,3,7267.3,1,1
APC,NAPA COUNTY,38.21339247,-122.2804906,3,4482.7,0,0
88NV,BLACK ROCK CITY,40.76184944,-119.2122618,3,5166.7,0,0
9D9,HASTINGS,42.66363207,-85.34610635,3,3111.7,0,0
80D,CLARE COUNTY,44.05243194,-84.8131537,3,2793.7,0,0
6S8,LAUREL MUNI,45.70471413,-108.7627436,3,3100.3,0,0
6R5,ALVIN AIRPARK,29.41464256,-95.28909974,3,1250.0,0,0
6U5,HINSDALE,48.38800509,-107.0833245,3,2106.7,0,0
65KS,GRIFFITH FLD,39.5068324,-98.58603935,3,2080.0,0,0
68C,CENTRAL COUNTY,44.50476722,-89.02576185,3,2007.0,0,0
69V,HUNTINGTON MUNI,39.36125555,-110.9172028,3,3255.7,0,0
44KS,VANKIRK,37.61100416,-97.16398148,3,1868.3,0,0
51G,ALKAY,43.14339444,-83.79700602,3,1876.0,0,0
3JC,FREEMAN FLD,39.04300264,-96.84291424,3,2411.7,0,0
3R7,JENNINGS,30.24255304,-92.67207735,3,3526.7,0,0
2H0,SHELBY COUNTY,39.41086258,-88.84472084,3,2626.7,0,0
2B1,CAPE COD,41.68527277,-70.40213454,3,2265.0,0,0
24C,LOWELL CITY,42.95459675,-85.34546759,3,2344.7,0,0
2VA,ZANGGER VINTAGE AIRPARK,43.45064433,-96.40474879,3,2770.3,0,0
00AR,ARLAND,38.96994213,-97.60133657,3,1693.3,0,0
0C0,DACY,42.4027282,-88.63211765,3,2933.0,0,0
02C,CAPITOL DRIVE,43.08940103,-88.17962129,3,2661.0,0,0
SAT,SAN ANTONIO INTL,29.5341102,-98.46931033,3,7508.7,2,0
DEC,DECATUR,39.83465606,-88.86666303,3,6864.3,2,0
0KS5,OASIS AERODROME,38.45069398,-98.80015925,3,1850.0,0,0
Y83,SANDUSKY CITY,43.45524124,-82.84198157,2,2885.0,0,0
X59,VALKARIA,27.96086564,-80.55832743,2,4000.0,0,0
WWD,CAPE MAY COUNTY,39.00834114,-74.90857986,2,5126.0,0,0
VLA,VANDALIA MUNI,38.99134428,-89.16605664,2,3376.0,0,0
Y23,CHETEK MUNI/SOUTHWORTH,45.30705074,-91.63771129,2,2445.5,0,0
VLD,VALDOSTA RGNL,30.78186451,-83.27657055,2,6800.0,1,0
YAK,YAKUTAT,59.50325857,-139.6612673,2,7103.5,2,0
VNC,VENICE MUNI,27.07130721,-82.43998459,2,5320.0,0,0
X21,ARTHUR DUNN AIR PARK,28.62251618,-80.83544244,2,2383.0,0,0
VNW,VAN WERT COUNTY,40.86357996,-84.60548508,2,3279.0,0,0
XNO,NORTH AF AUX,33.60993285,-81.07861729,2,6751.5,0,1
VNY,VAN NUYS,34.21072658,-118.4898444,2,6007.0,1,0
Y55,CRANDON/STEVE CONWAY MUNI,45.52247077,-88.92805602,2,3146.0,0,0
VPS,EGLIN AFB/DESTIN-FT WALTON BEACH,30.48348403,-86.52509444,2,11008.0,0,2
Y93,ATLANTA MUNI,44.99688333,-84.12723264,2,3111.5,0,0
VPZ,PORTER COUNTY RGNL,41.45455443,-87.00705059,2,5501.0,1,0
VHN,CULBERSON COUNTY,31.0576962,-104.7837634,2,5679.0,1,0
VCT,VICTORIA RGNL,28.85373926,-96.9166582,2,7009.5,1,0
X06,ARCADIA MUNI,27.19523922,-81.83849781,2,3050.0,0,0
VCV,SOUTHERN CALIFORNIA LOGISTICS,34.59494577,-117.3818295,2,11095.0,1,1
X35,MARION COUNTY,29.06169595,-82.37662348,2,4850.5,0,0
VSF,HARTNESS STATE (SPRINGFIELD),43.34311894,-72.51807882,2,4250.5,0,0
XLL,ALLENTOWN QUEEN CITY MUNI,40.57039372,-75.4883139,2,3555.0,0,0
VTI,VINTON VETERANS MEML AIRPARK,42.21843356,-92.025305,2,3250.0,0,0
Y03,SPRINGFIELD MUNI,42.88077708,-97.9017368,2,2700.0,0,0
VTN,MILLER FLD,42.85671847,-100.5492167,2,4202.5,0,0
Y50,WAUTOMA MUNI,44.0434471,-89.30593987,2,2817.0,0,0
